date,Tav,Tmax,Tmin,Rain,SolarRad
01/01/1951,0.699999988,1.799999952,-5.800000191,4.4,1.624319934
02/01/1951,0.300000012,1.600000024,-1.899999976,3.6,1.831680066
03/01/1951,0.5,1.600000024,-1.399999976,11.4,2.134080066
04/01/1951,0.300000012,2.200000048,-2.5,0,2.609280066
05/01/1951,4,6,0.200000003,4.2,1.546559967
06/01/1951,4.400000095,6.900000095,1.299999952,0,2.237759967
07/01/1951,5,6.599999905,2.299999952,1,3.335039868
08/01/1951,3.799999952,6,2.299999952,5.6,3.5856
09/01/1951,2.400000095,5.800000191,0,1,3.767039868
10/01/1951,0.5,4.800000191,-3.200000048,0.1,4.043519934
11/01/1951,6.5,8.699999809,-0.200000003,0,2.125440033
12/01/1951,3.200000048,7,1.200000048,1.7,1.693440033
13/01/1951,3.099999905,4.400000095,0.600000024,1.1,2.712959967
14/01/1951,4.400000095,6.300000191,1.899999976,0,4.466880066
15/01/1951,3,7.699999809,1.299999952,0,1.676159967
16/01/1951,2.200000048,3.900000095,0.100000001,19.2,2.790719934
17/01/1951,2.099999905,4.400000095,-0.600000024,0,1.347840033
18/01/1951,4.5,6.699999809,3.299999952,15.8,1.753919934
19/01/1951,3.299999952,4.400000095,2.599999905,12.3,2.185919934
20/01/1951,7,8.100000381,3.099999905,19.6,0.648
21/01/1951,2.299999952,6.400000095,1.600000024,9.4,1.175040033
22/01/1951,4,5.800000191,0.800000012,3.7,1.140479984
23/01/1951,4.099999905,5.300000191,3.200000048,1.9,1.9872
24/01/1951,3.099999905,4.400000095,1.399999976,1.7,2.298240033
25/01/1951,1.399999976,3.599999905,0.600000024,0,2.168640033
26/01/1951,1.399999976,2.5,0,0,2.903039868
27/01/1951,2.400000095,3.400000095,1.299999952,0.1,2.756159967
28/01/1951,2.299999952,3.299999952,1,0,2.16
29/01/1951,1.700000048,3.099999905,1,0,2.134080066
30/01/1951,1.700000048,2.900000095,0.600000024,0,2.341440033
31/01/1951,1.600000024,2.5,0.699999988,0,2.5056
01/02/1951,2.599999905,4.099999905,1.100000024,0,2.436480066
02/02/1951,2.5,4.5,1.399999976,0,3.732480066
03/02/1951,1.100000024,4.300000191,-0.5,0,3.905280066
04/02/1951,3.700000048,7.300000191,-0.300000012,0.2,4.631039868
05/02/1951,3.5,5.5,1.899999976,6,2.911680066
06/02/1951,3.200000048,5.599999905,-0.200000003,7.2,4.259519934
07/02/1951,3.099999905,7,-0.200000003,0,8.3376
08/02/1951,4.5,6.800000191,-0.600000024,0,3.4992
09/02/1951,6.099999905,9.899999619,3.400000095,0,3.222719934
10/02/1951,4.400000095,6.800000191,2.599999905,0.1,3.965760132
11/02/1951,4,6.400000095,1.399999976,0,3.335039868
12/02/1951,4.5,9.300000191,1.299999952,0.4,6.505920264
13/02/1951,2.900000095,5.5,0.300000012,0.6,3.5424
14/02/1951,4.800000191,7.699999809,1.600000024,0,5.564160132
15/02/1951,2.5,5.699999809,0.5,0,3.922560132
16/02/1951,0.800000012,5.699999809,-2.099999905,2.8,5.564160132
17/02/1951,5.599999905,7.900000095,-2.299999952,0,3.896639868
18/02/1951,3.099999905,8.300000191,0.899999976,16.1,10.14336013
19/02/1951,2.5,5.300000191,-0.300000012,0,3.654719934
20/02/1951,4.300000191,6.400000095,1.799999952,12,6.264
21/02/1951,3.299999952,8.100000381,1.899999976,5.2,5.192639868
22/02/1951,2.799999952,6.300000191,0.800000012,6.2,5.840639868
23/02/1951,2.099999905,5.199999809,0.800000012,4.1,6.281279736
24/02/1951,2.200000048,6,-1.700000048,4.3,9.002879736
25/02/1951,1.899999976,5.199999809,0.300000012,0,4.605119934
26/02/1951,0.699999988,5.5,-2.099999905,2.8,8.372160132
27/02/1951,0.5,2.900000095,-1.700000048,6.6,4.674239868
28/02/1951,-0.400000006,1.899999976,-3,2,7.344
01/03/1951,-0.600000024,1,-2,0.2,5.123519934
02/03/1951,-1.100000024,1,-2.299999952,2.1,4.527360132
03/03/1951,-2.099999905,0.200000003,-4.199999809,2.3,5.538239868
04/03/1951,-1.899999976,1.5,-5.199999809,0,12.62304053
05/03/1951,-0.400000006,4.5,-4.599999905,0,9.037439868
06/03/1951,0.200000003,8.5,-4.900000095,0,13.38335947
07/03/1951,2.400000095,7.900000095,-4.199999809,0,12.23424053
08/03/1951,2.599999905,4.800000191,0.100000001,0,3.335039868
09/03/1951,-0.100000001,3,-1,0.5,3.697919934
10/03/1951,2.200000048,5.5,-1.100000024,0.8,5.201280066
11/03/1951,3.299999952,5.5,-0.899999976,0,5.382719934
12/03/1951,5.800000191,10.19999981,3.299999952,2.8,11.60352026
13/03/1951,8.100000381,11.89999962,-0.200000003,5.5,6.376320264
14/03/1951,6.699999809,10.60000038,3.799999952,9.4,10.44576013
15/03/1951,5.900000095,10.60000038,3.299999952,1.4,11.97504053
16/03/1951,8.100000381,13.30000019,-0.200000003,4.2,13.18464053
17/03/1951,13.5,16.29999924,7.900000095,11,6.9552
18/03/1951,9.300000191,13.5,7.300000191,6,5.771520264
19/03/1951,7.400000095,11.30000019,5.599999905,10.8,7.629120264
20/03/1951,2.5,6.199999809,1.200000048,6.4,9.3312
21/03/1951,0.600000024,4.5,-1.5,0,17.08992026
22/03/1951,3.099999905,6.599999905,-2.400000095,0,7.024320264
23/03/1951,11.10000038,14.60000038,3,7.6,7.663679736
24/03/1951,3,13.89999962,1.299999952,0.3,8.8128
25/03/1951,0.800000012,3.799999952,-1.100000024,5,12.3984
26/03/1951,1.799999952,3.5,-1.899999976,6.4,6.315839868
27/03/1951,5,7.400000095,2.400000095,6.9,4.8816
28/03/1951,1.600000024,6.199999809,-1,5.6,15.71615947
29/03/1951,1.600000024,5.400000095,-2.400000095,2.2,12.03552026
30/03/1951,4.300000191,8.5,-1.299999952,1.5,10.73952026
31/03/1951,3.400000095,8.199999809,0.899999976,1.6,9.097920264
01/04/1951,6,9.399999619,0.300000012,2.3,8.648639868
02/04/1951,5.599999905,9.399999619,3.599999905,1.4,12.5712
03/04/1951,4.699999809,9.5,2.5,5.4,13.96224053
04/04/1951,7.400000095,12.19999981,-0.600000024,3,19.25855947
05/04/1951,8.199999809,13.19999981,5.900000095,1.3,10.78272026
06/04/1951,9.899999619,15.10000038,0.699999988,6.3,16.16544053
07/04/1951,10.30000019,16.29999924,6.599999905,0,11.448
08/04/1951,4.800000191,8.899999619,3.299999952,5.9,13.29695947
09/04/1951,5.400000095,8.899999619,2.599999905,4.9,8.043839868
10/04/1951,5.300000191,9.699999809,3.599999905,5.4,17.66015947
11/04/1951,4,9,1.5,0,15.43967974
12/04/1951,5.400000095,10.10000038,-0.200000003,0.5,18.16992026
13/04/1951,7,11.39999962,0.800000012,3,8.519039868
14/04/1951,4.599999905,8.699999809,3,2.1,16.5456
15/04/1951,4.300000191,9.100000381,1,0.1,19.03392026
16/04/1951,9.899999619,17.60000038,-0.5,0,22.92191895
17/04/1951,9.699999809,15.69999981,4.599999905,0,20.10527974
18/04/1951,11.10000038,17.10000038,3.400000095,0,18.84384053
19/04/1951,12.19999981,18.39999962,8.600000381,1.1,15.8976
20/04/1951,7.400000095,11.10000038,6.300000191,0,6.4368
21/04/1951,7.900000095,13.60000038,4.800000191,0.3,18.80064053
22/04/1951,7.599999905,12.69999981,1.200000048,0,23.01695947
23/04/1951,9.899999619,16.10000038,0.600000024,0,23.99328105
24/04/1951,13.30000019,19.5,4.199999809,0,24.31295947
25/04/1951,16.29999924,24.20000076,6.599999905,0,24.09695947
26/04/1951,15.30000019,20.60000038,9.100000381,0,12.73535947
27/04/1951,10.60000038,15.10000038,9.399999619,0.2,6.799679736
28/04/1951,5.300000191,10.39999962,3.599999905,18.3,9.607679736
29/04/1951,3.900000095,7.199999809,0.899999976,0,13.0464
30/04/1951,6,10.89999962,0.5,0,16.52832026
01/05/1951,11.10000038,17.39999962,0.600000024,0,24.07104053
02/05/1951,13.80000019,20.60000038,5.300000191,0,21.70367974
03/05/1951,14.80000019,21.10000038,7.900000095,0,20.76192026
04/05/1951,12.39999962,18.39999962,7.699999809,0,16.81344053
05/05/1951,11.80000019,17.89999962,6.900000095,1.5,21.5136
06/05/1951,14.19999981,20,7,0,23.4144
07/05/1951,12.80000019,18.39999962,9.5,0,13.03775947
08/05/1951,12.30000019,18,8.199999809,2,16.5888
09/05/1951,11.60000038,15.60000038,8.699999809,0.4,13.57344053
10/05/1951,11.10000038,14,9.199999809,4.1,8.3808
